"","Vteam","Hteam"
"73","Cleveland Cavaliers","Toronto Raptors"
"74","Brooklyn Nets","Atlanta Hawks"
"75","Utah Jazz","Charlotte Hornets"
"76","Memphis Grizzlies","Denver Nuggets"
"77","Cleveland Cavaliers","Indiana Pacers"
"78","Golden State Warriors","Milwaukee Bucks"
"79","New York Knicks","Minnesota Timberwolves"
"80","Portland Trail Blazers","New Orleans Pelicans"
"81","Houston Rockets","Phoenix Suns"
"82","Orlando Magic","Washington Wizards"
"83","Detroit Pistons","Chicago Bulls"
"84","Oklahoma City Thunder","Charlotte Hornets"
"85","Los Angeles Lakers","Dallas Mavericks"
"86","Sacramento Kings","Los Angeles Clippers"
"87","Denver Nuggets","San Antonio Spurs"
"88","Golden State Warriors","Toronto Raptors"
"89","Brooklyn Nets","Washington Wizards"
"90","Milwaukee Bucks","Miami Heat"
"91","Portland Trail Blazers","Minnesota Timberwolves"
"92","New Orleans Pelicans","New York Knicks"
"93","Indiana Pacers","Phoenix Suns"
"94","San Antonio Spurs","Atlanta Hawks"
"95","New York Knicks","Brooklyn Nets"
"96","Miami Heat","Chicago Bulls"
"97","Golden State Warriors","Cleveland Cavaliers"
"98","Charlotte Hornets","Detroit Pistons"
"99","Houston Rockets","Los Angeles Clippers"
"100","Los Angeles Lakers","Memphis Grizzlies"
"101","Sacramento Kings","Oklahoma City Thunder"
"102","Toronto Raptors","Philadelphia 76ers"
"103","Indiana Pacers","Utah Jazz"
"104","Milwaukee Bucks","Washington Wizards"
"105","New Orleans Pelicans","Boston Celtics"
"106","Dallas Mavericks","Denver Nuggets"
"107","Minnesota Timberwolves","Orlando Magic"
"108","Phoenix Suns","Portland Trail Blazers"
"109","New Orleans Pelicans","Atlanta Hawks"
"110","San Antonio Spurs","Brooklyn Nets"
"111","Golden State Warriors","Chicago Bulls"
"112","Washington Wizards","Charlotte Hornets"
"113","Denver Nuggets","Los Angeles Clippers"
"114","New York Knicks","Memphis Grizzlies"
"115","Miami Heat","Milwaukee Bucks"
"116","Los Angeles Lakers","Oklahoma City Thunder"
"117","Utah Jazz","Sacramento Kings"
"118","Detroit Pistons","Toronto Raptors"
"119","Philadelphia 76ers","Boston Celtics"
"120","Orlando Magic","Cleveland Cavaliers"
"121","Minnesota Timberwolves","Houston Rockets"
"122","Indiana Pacers","Portland Trail Blazers"
"123","Miami Heat","Brooklyn Nets"
"124","Phoenix Suns","Denver Nuggets"
"125","Washington Wizards","Detroit Pistons"
"126","Indiana Pacers","Los Angeles Lakers"
"127","Sacramento Kings","Memphis Grizzlies"
"128","San Antonio Spurs","Toronto Raptors"
"129","New York Knicks","Utah Jazz"
"130","Chicago Bulls","Atlanta Hawks"
"131","Miami Heat","Charlotte Hornets"
"132","Oklahoma City Thunder","Cleveland Cavaliers"
"133","Golden State Warriors","Houston Rockets"
"134","Toronto Raptors","Minnesota Timberwolves"
"135","Memphis Grizzlies","New Orleans Pelicans"
"136","Milwaukee Bucks","Philadelphia 76ers"
"137","Dallas Mavericks","Portland Trail Blazers"
"138","Los Angeles Clippers","Utah Jazz"
"139","Orlando Magic","Boston Celtics"
"140","Brooklyn Nets","Detroit Pistons"
"141","New York Knicks","Los Angeles Lakers"
"142","Indiana Pacers","San Antonio Spurs"
"143","Utah Jazz","Atlanta Hawks"
"144","Sacramento Kings","Charlotte Hornets"
"145","Washington Wizards","Dallas Mavericks"
"146","Portland Trail Blazers","Denver Nuggets"
"147","Miami Heat","Houston Rockets"
"148","Minnesota Timberwolves","Los Angeles Clippers"
"149","Philadelphia 76ers","Memphis Grizzlies"
"150","Phoenix Suns","Milwaukee Bucks"
"151","Chicago Bulls","New Orleans Pelicans"
"152","New York Knicks","Golden State Warriors"
"153","Boston Celtics","Los Angeles Lakers"
"154","Brooklyn Nets","Oklahoma City Thunder"
"155","Sacramento Kings","Orlando Magic"
"156","Cleveland Cavaliers","San Antonio Spurs"
"157","Toronto Raptors","Atlanta Hawks"
"158","New Orleans Pelicans","Charlotte Hornets"
"159","Houston Rockets","Dallas Mavericks"
"160","Utah Jazz","Detroit Pistons"
"161","Phoenix Suns","Indiana Pacers"
"162","Boston Celtics","Los Angeles Clippers"
"163","San Antonio Spurs","Memphis Grizzlies"
"164","Chicago Bulls","Philadelphia 76ers"
"165","Minnesota Timberwolves","Portland Trail Blazers"
"166","New York Knicks","Denver Nuggets"
"167","Minnesota Timberwolves","Golden State Warriors"
"168","Sacramento Kings","Miami Heat"
"169","Washington Wizards","Oklahoma City Thunder"
"170","Los Angeles Lakers","Chicago Bulls"
"171","Atlanta Hawks","Charlotte Hornets"
"172","Indiana Pacers","Cleveland Cavaliers"
"173","Portland Trail Blazers","Dallas Mavericks"
"174","Los Angeles Clippers","Memphis Grizzlies"
"175","Brooklyn Nets","Milwaukee Bucks"
"176","Houston Rockets","New Orleans Pelicans"
"177","New York Knicks","Phoenix Suns"
"178","Philadelphia 76ers","San Antonio Spurs"
"179","Utah Jazz","Toronto Raptors"
"180","Washington Wizards","Atlanta Hawks"
"181","Dallas Mavericks","Denver Nuggets"
"182","Oklahoma City Thunder","Detroit Pistons"
"183","Boston Celtics","Golden State Warriors"
"184","Orlando Magic","Indiana Pacers"
"185","Charlotte Hornets","Miami Heat"
"186","Brooklyn Nets","Minnesota Timberwolves"
"187","Milwaukee Bucks","Chicago Bulls"
"188","Detroit Pistons","Cleveland Cavaliers"
"189","Phoenix Suns","Houston Rockets"
"190","Los Angeles Clippers","New Orleans Pelicans"
"191","Philadelphia 76ers","Oklahoma City Thunder"
"192","Sacramento Kings","San Antonio Spurs"
"193","Los Angeles Lakers","Toronto Raptors"
"194","Minnesota Timberwolves","Atlanta Hawks"
"195","Miami Heat","Dallas Mavericks"
"196","Boston Celtics","Denver Nuggets"
"197","Charlotte Hornets","Indiana Pacers"
"198","Phoenix Suns","Memphis Grizzlies"
"199","Philadelphia 76ers","Milwaukee Bucks"
"200","Cleveland Cavaliers","Detroit Pistons"
"201","Orlando Magic","Houston Rockets"
"202","Portland Trail Blazers","Los Angeles Clippers"
"203","Sacramento Kings","New Orleans Pelicans"
"204","Brooklyn Nets","New York Knicks"
"205","Denver Nuggets","San Antonio Spurs"
"206","Minnesota Timberwolves","Toronto Raptors"
"207","Golden State Warriors","Utah Jazz"
"208","Oklahoma City Thunder","Washington Wizards"
"209","Charlotte Hornets","Atlanta Hawks"
"210","New York Knicks","Boston Celtics"
"211","Philadelphia 76ers","Brooklyn Nets"
"212","Miami Heat","Cleveland Cavaliers"
"213","Memphis Grizzlies","Indiana Pacers"
"214","Los Angeles Lakers","Orlando Magic"
"215","Dallas Mavericks","Phoenix Suns"
"216","Chicago Bulls","Portland Trail Blazers"
"217","Oklahoma City Thunder","Denver Nuggets"
"218","Memphis Grizzlies","Detroit Pistons"
"219","Milwaukee Bucks","Minnesota Timberwolves"
"220","Houston Rockets","San Antonio Spurs"
"221","Toronto Raptors","Washington Wizards"
"222","Atlanta Hawks","Boston Celtics"
"223","Los Angeles Lakers","Brooklyn Nets"
"224","Indiana Pacers","Charlotte Hornets"
"225","New York Knicks","Milwaukee Bucks"
"226","New Orleans Pelicans","Oklahoma City Thunder"
"227","Miami Heat","Philadelphia 76ers"
"228","Utah Jazz","Phoenix Suns"
"229","Golden State Warriors","Sacramento Kings"
"230","Portland Trail Blazers","Toronto Raptors"
"231","Houston Rockets","Cleveland Cavaliers"
"232","Golden State Warriors","Denver Nuggets"
"233","Miami Heat","Detroit Pistons"
"234","Philadelphia 76ers","Indiana Pacers"
"235","Chicago Bulls","Los Angeles Clippers"
"236","New Orleans Pelicans","Minnesota Timberwolves"
"237","Washington Wizards","Orlando Magic"
"238","Dallas Mavericks","Sacramento Kings"
"239","Utah Jazz","San Antonio Spurs"
"240","Portland Trail Blazers","Boston Celtics"
"241","Milwaukee Bucks","Brooklyn Nets"
"242","Atlanta Hawks","New York Knicks"
"243","Los Angeles Lakers","Oklahoma City Thunder"
"244","Charlotte Hornets","Phoenix Suns"
"245","Memphis Grizzlies","Toronto Raptors"
"246","Charlotte Hornets","Denver Nuggets"
"247","Portland Trail Blazers","Detroit Pistons"
"248","Washington Wizards","Indiana Pacers"
"249","Dallas Mavericks","Los Angeles Clippers"
"250","Orlando Magic","Miami Heat"
"251","Utah Jazz","New Orleans Pelicans"
"252","Chicago Bulls","Sacramento Kings"
"253","Memphis Grizzlies","Atlanta Hawks"
"254","Houston Rockets","Brooklyn Nets"
"255","Oklahoma City Thunder","Golden State Warriors"
"256","Phoenix Suns","Los Angeles Lakers"
"257","Milwaukee Bucks","New York Knicks"
"258","Cleveland Cavaliers","Orlando Magic"
"259","Washington Wizards","Philadelphia 76ers"
"260","Boston Celtics","Toronto Raptors"
"261","Minnesota Timberwolves","Cleveland Cavaliers"
"262","Brooklyn Nets","Detroit Pistons"
"263","Utah Jazz","Memphis Grizzlies"
"264","Houston Rockets","Miami Heat"
"265","Indiana Pacers","New Orleans Pelicans"
"266","San Antonio Spurs","Phoenix Suns"
"267","Dallas Mavericks","Golden State Warriors"
"268","Oklahoma City Thunder","Los Angeles Lakers"
"269","Atlanta Hawks","Orlando Magic"
"270","Charlotte Hornets","Portland Trail Blazers"
"271","New York Knicks","Toronto Raptors"
"272","Boston Celtics","Washington Wizards"
"273","Cleveland Cavaliers","Atlanta Hawks"
"274","Indiana Pacers","Boston Celtics"
"275","Minnesota Timberwolves","Chicago Bulls"
"276","Los Angeles Clippers","Detroit Pistons"
"277","Denver Nuggets","Houston Rockets"
"278","Milwaukee Bucks","Miami Heat"
"279","New Orleans Pelicans","Philadelphia 76ers"
"280","Portland Trail Blazers","Sacramento Kings"
"281","Charlotte Hornets","Utah Jazz"
"282","New Orleans Pelicans","Brooklyn Nets"
"283","Washington Wizards","Chicago Bulls"
"284","Los Angeles Lakers","Dallas Mavericks"
"285","San Antonio Spurs","Golden State Warriors"
"286","Milwaukee Bucks","Orlando Magic"
"287","Los Angeles Clippers","Philadelphia 76ers"
"288","Denver Nuggets","Phoenix Suns"
"289","Detroit Pistons","Atlanta Hawks"
"290","Cleveland Cavaliers","Boston Celtics"
"291","Toronto Raptors","Charlotte Hornets"
"292","Dallas Mavericks","Houston Rockets"
"293","New York Knicks","Indiana Pacers"
"294","Sacramento Kings","Minnesota Timberwolves"
"295","Memphis Grizzlies","Oklahoma City Thunder"
"296","Utah Jazz","Portland Trail Blazers"
"297","Los Angeles Clippers","Brooklyn Nets"
"298","Orlando Magic","Chicago Bulls"
"299","New Orleans Pelicans","Detroit Pistons"
"300","Phoenix Suns","Golden State Warriors"
"301","New York Knicks","Philadelphia 76ers"
"302","San Antonio Spurs","Utah Jazz"
"303","Sacramento Kings","Dallas Mavericks"
"304","San Antonio Spurs","Denver Nuggets"
"305","Atlanta Hawks","Milwaukee Bucks"
"306","Houston Rockets","Minnesota Timberwolves"
"307","Cleveland Cavaliers","Oklahoma City Thunder"
"308","Miami Heat","Toronto Raptors"
"309","Los Angeles Clippers","Boston Celtics"
"310","Indiana Pacers","Brooklyn Nets"
"311","Toronto Raptors","Chicago Bulls"
"312","Atlanta Hawks","Detroit Pistons"
"313","Sacramento Kings","Houston Rockets"
"314","Oklahoma City Thunder","Memphis Grizzlies"
"315","Los Angeles Lakers","New Orleans Pelicans"
"316","Washington Wizards","New York Knicks"
"317","Charlotte Hornets","Orlando Magic"
"318","Miami Heat","Philadelphia 76ers"
"319","Golden State Warriors","Portland Trail Blazers"
"320","Phoenix Suns","Utah Jazz"
"321","Denver Nuggets","Milwaukee Bucks"
"322","Los Angeles Lakers","Minnesota Timberwolves"
"323","Philadelphia 76ers","Chicago Bulls"
"324","Brooklyn Nets","Charlotte Hornets"
"325","Washington Wizards","Cleveland Cavaliers"
"326","Los Angeles Clippers","Golden State Warriors"
"327","New York Knicks","Orlando Magic"
"328","Oklahoma City Thunder","Sacramento Kings"
"329","San Antonio Spurs","Denver Nuggets"
"330","Boston Celtics","Detroit Pistons"
"331","Minnesota Timberwolves","Houston Rockets"
"332","Atlanta Hawks","Indiana Pacers"
"333","Dallas Mavericks","Los Angeles Lakers"
"334","Cleveland Cavaliers","Memphis Grizzlies"
"335","Miami Heat","New Orleans Pelicans"
"336","Los Angeles Clippers","Phoenix Suns"
"337","Milwaukee Bucks","Toronto Raptors"
"338","Portland Trail Blazers","Utah Jazz"
"339","Charlotte Hornets","Washington Wizards"
"340","Oklahoma City Thunder","Golden State Warriors"
"341","Memphis Grizzlies","Miami Heat"
"342","Chicago Bulls","Minnesota Timberwolves"
"343","Boston Celtics","New York Knicks"
"344","Orlando Magic","Philadelphia 76ers"
"345","Portland Trail Blazers","Phoenix Suns"
"346","Los Angeles Lakers","Sacramento Kings"
"347","Dallas Mavericks","Utah Jazz"
"348","Detroit Pistons","Charlotte Hornets"
"349","San Antonio Spurs","Cleveland Cavaliers"
"350","Houston Rockets","Denver Nuggets"
"351","New Orleans Pelicans","Milwaukee Bucks"
"352","Philadelphia 76ers","Washington Wizards"
"353","Los Angeles Lakers","Atlanta Hawks"
"354","Memphis Grizzlies","Boston Celtics"
"355","Chicago Bulls","Brooklyn Nets"
"356","Indiana Pacers","Dallas Mavericks"
"357","Phoenix Suns","New Orleans Pelicans"
"358","Golden State Warriors","New York Knicks"
"359","Orlando Magic","Oklahoma City Thunder"
"360","Minnesota Timberwolves","Sacramento Kings"
"361","Detroit Pistons","Toronto Raptors"
"362","Houston Rockets","Utah Jazz"
"363","Chicago Bulls","Charlotte Hornets"
"364","Brooklyn Nets","Cleveland Cavaliers"
"365","Los Angeles Clippers","Denver Nuggets"
"366","Philadelphia 76ers","Miami Heat"
"367","Washington Wizards","Milwaukee Bucks"
"368","Sacramento Kings","Portland Trail Blazers"
"369","Indiana Pacers","Atlanta Hawks"
"370","Charlotte Hornets","Boston Celtics"
"371","Oklahoma City Thunder","Dallas Mavericks"
"372","Milwaukee Bucks","Detroit Pistons"
"373","Houston Rockets","Los Angeles Clippers"
"374","Phoenix Suns","Memphis Grizzlies"
"375","Toronto Raptors","Orlando Magic"
"376","New Orleans Pelicans","San Antonio Spurs"
"377","Golden State Warriors","Washington Wizards"
"378","Philadelphia 76ers","Cleveland Cavaliers"
"379","Los Angeles Lakers","Miami Heat"
"380","Minnesota Timberwolves","Portland Trail Blazers"
"381","Brooklyn Nets","Sacramento Kings"
"382","Golden State Warriors","Atlanta Hawks"
"383","Dallas Mavericks","Chicago Bulls"
"384","New York Knicks","Los Angeles Clippers"
"385","Denver Nuggets","Memphis Grizzlies"
"386","Indiana Pacers","Milwaukee Bucks"
"387","Detroit Pistons","Orlando Magic"
"388","Charlotte Hornets","Philadelphia 76ers"
"389","Oklahoma City Thunder","Phoenix Suns"
"390","Minnesota Timberwolves","Utah Jazz"
"391","Toronto Raptors","Washington Wizards"
"392","Denver Nuggets","Cleveland Cavaliers"
"393","Boston Celtics","Houston Rockets"
"394","Detroit Pistons","Miami Heat"
"395","Memphis Grizzlies","Orlando Magic"
"396","Oklahoma City Thunder","Portland Trail Blazers"
"397","Utah Jazz","Sacramento Kings"
"398","Los Angeles Lakers","San Antonio Spurs"
"399","Phoenix Suns","Atlanta Hawks"
"400","New Orleans Pelicans","Dallas Mavericks"
"401","Brooklyn Nets","Los Angeles Clippers"
"402","Philadelphia 76ers","Milwaukee Bucks"
"403","New York Knicks","Sacramento Kings"
"404","Charlotte Hornets","Toronto Raptors"
"405","Indiana Pacers","Washington Wizards"
"406","Boston Celtics","Chicago Bulls"
"407","Detroit Pistons","Cleveland Cavaliers"
"408","Milwaukee Bucks","Indiana Pacers"
"409","Portland Trail Blazers","Los Angeles Lakers"
"410","Phoenix Suns","Miami Heat"
"411","Memphis Grizzlies","San Antonio Spurs"
"412","Orlando Magic","Utah Jazz"
"413","Philadelphia 76ers","Charlotte Hornets"
"414","Denver Nuggets","Dallas Mavericks"
"415","Brooklyn Nets","Golden State Warriors"
"416","New Orleans Pelicans","Los Angeles Clippers"
"417","Houston Rockets","Oklahoma City Thunder"
"418","New York Knicks","Portland Trail Blazers"
"419","Atlanta Hawks","Toronto Raptors"
"420","Miami Heat","Washington Wizards"
"421","Memphis Grizzlies","Chicago Bulls"
"422","Cleveland Cavaliers","Denver Nuggets"
"423","Toronto Raptors","Detroit Pistons"
"424","Utah Jazz","Indiana Pacers"
"425","Orlando Magic","Los Angeles Lakers"
"426","Houston Rockets","Milwaukee Bucks"
"427","New Orleans Pelicans","Sacramento Kings"
"428","Brooklyn Nets","Charlotte Hornets"
"429","San Antonio Spurs","Golden State Warriors"
"430","Philadelphia 76ers","Miami Heat"
"431","Boston Celtics","Minnesota Timberwolves"
"432","Phoenix Suns","Oklahoma City Thunder"
"433","Los Angeles Lakers","Denver Nuggets"
"434","Chicago Bulls","Detroit Pistons"
"435","Atlanta Hawks","Indiana Pacers"
"436","Cleveland Cavaliers","Los Angeles Clippers"
"437","Utah Jazz","Memphis Grizzlies"
"438","New York Knicks","Milwaukee Bucks"
"439","Washington Wizards","New Orleans Pelicans"
"440","Golden State Warriors","Portland Trail Blazers"
"441","Orlando Magic","Sacramento Kings"
"442","Houston Rockets","Toronto Raptors"
"443","Phoenix Suns","Charlotte Hornets"
"444","Memphis Grizzlies","Dallas Mavericks"
"445","Orlando Magic","Los Angeles Clippers"
"446","Washington Wizards","Miami Heat"
"447","San Antonio Spurs","Oklahoma City Thunder"
"448","Chicago Bulls","Atlanta Hawks"
"449","Indiana Pacers","Boston Celtics"
"450","Philadelphia 76ers","Brooklyn Nets"
"451","Houston Rockets","Dallas Mavericks"
"452","Sacramento Kings","Denver Nuggets"
"453","Cleveland Cavaliers","Los Angeles Lakers"
"454","Golden State Warriors","Minnesota Timberwolves"
"455","Utah Jazz","New Orleans Pelicans"
"456","Toronto Raptors","New York Knicks"
"457","San Antonio Spurs","Houston Rockets"
"458","Milwaukee Bucks","Memphis Grizzlies"
"459","Sacramento Kings","Oklahoma City Thunder"
"460","Miami Heat","Portland Trail Blazers"
"461","Oklahoma City Thunder","Atlanta Hawks"
"462","Toronto Raptors","Brooklyn Nets"
"463","Los Angeles Clippers","Chicago Bulls"
"464","Denver Nuggets","Los Angeles Lakers"
"465","Charlotte Hornets","New Orleans Pelicans"
"466","Dallas Mavericks","New York Knicks"
"467","Indiana Pacers","Philadelphia 76ers"
"468","Cleveland Cavaliers","Phoenix Suns"
"469","Orlando Magic","San Antonio Spurs"
"470","Detroit Pistons","Utah Jazz"
"471","Minnesota Timberwolves","Washington Wizards"
"472","Washington Wizards","Boston Celtics"
"473","Los Angeles Lakers","Golden State Warriors"
"474","Milwaukee Bucks","Orlando Magic"
"475","Miami Heat","Sacramento Kings"
"476","Charlotte Hornets","Atlanta Hawks"
"477","Detroit Pistons","Denver Nuggets"
"478","Los Angeles Clippers","Houston Rockets"
"479","Toronto Raptors","Indiana Pacers"
"480","Chicago Bulls","Memphis Grizzlies"
"481","Philadelphia 76ers","New York Knicks"
"482","Cleveland Cavaliers","Portland Trail Blazers"
"483","New Orleans Pelicans","San Antonio Spurs"
"484","Phoenix Suns","Utah Jazz"
"485","Sacramento Kings","Golden State Warriors"
"486","Miami Heat","Los Angeles Lakers"
"487","Los Angeles Clippers","Oklahoma City Thunder"
"488","Boston Celtics","Orlando Magic"
"489","Brooklyn Nets","Philadelphia 76ers"
"490","Dallas Mavericks","Toronto Raptors"
"491","Dallas Mavericks","Brooklyn Nets"
"492","Cleveland Cavaliers","Chicago Bulls"
"493","Denver Nuggets","Memphis Grizzlies"
"494","Atlanta Hawks","Milwaukee Bucks"
"495","Houston Rockets","New Orleans Pelicans"
"496","Charlotte Hornets","New York Knicks"
"497","Golden State Warriors","Phoenix Suns"
"498","Detroit Pistons","Portland Trail Blazers"
"499","Minnesota Timberwolves","San Antonio Spurs"
"500","Sacramento Kings","Utah Jazz"
"501","Indiana Pacers","Washington Wizards"
"502","Portland Trail Blazers","Los Angeles Clippers"
"503","Houston Rockets","Minnesota Timberwolves"
"504","Boston Celtics","New Orleans Pelicans"
"505","Oklahoma City Thunder","Toronto Raptors"
"506","Memphis Grizzlies","Brooklyn Nets"
"507","Milwaukee Bucks","Cleveland Cavaliers"
"508","Los Angeles Lakers","Indiana Pacers"
"509","Denver Nuggets","Miami Heat"
"510","Chicago Bulls","New York Knicks"
"511","Charlotte Hornets","Philadelphia 76ers"
"512","Detroit Pistons","Sacramento Kings"
"513","Golden State Warriors","San Antonio Spurs"
"514","Oklahoma City Thunder","Boston Celtics"
"515","Los Angeles Clippers","Minnesota Timberwolves"
"516","Dallas Mavericks","New Orleans Pelicans"
"517","Toronto Raptors","Orlando Magic"
"518","Detroit Pistons","Phoenix Suns"
"519","Houston Rockets","Portland Trail Blazers"
"520","Atlanta Hawks","Utah Jazz"
"521","Charlotte Hornets","Brooklyn Nets"
"522","Denver Nuggets","Chicago Bulls"
"523","Toronto Raptors","Cleveland Cavaliers"
"524","New York Knicks","Miami Heat"
"525","Los Angeles Clippers","Milwaukee Bucks"
"526","Memphis Grizzlies","Philadelphia 76ers"
"527","Washington Wizards","San Antonio Spurs"
"528","Memphis Grizzlies","Charlotte Hornets"
"529","Utah Jazz","Dallas Mavericks"
"530","Detroit Pistons","Houston Rockets"
"531","Los Angeles Lakers","New Orleans Pelicans"
"532","Philadelphia 76ers","Orlando Magic"
"533","Atlanta Hawks","Sacramento Kings"
"534","Milwaukee Bucks","Chicago Bulls"
"535","Phoenix Suns","Cleveland Cavaliers"
"536","Atlanta Hawks","Golden State Warriors"
"537","Los Angeles Clippers","Indiana Pacers"
"538","Minnesota Timberwolves","New York Knicks"
"539","Miami Heat","Oklahoma City Thunder"
"540","Boston Celtics","Portland Trail Blazers"
"541","Utah Jazz","San Antonio Spurs"
"542","Brooklyn Nets","Toronto Raptors"
"543","Denver Nuggets","Washington Wizards"
"544","Charlotte Hornets","Dallas Mavericks"
"545","Chicago Bulls","Detroit Pistons"
"546","New Orleans Pelicans","Houston Rockets"
"547","Los Angeles Lakers","Memphis Grizzlies"
"548","Phoenix Suns","Orlando Magic"
"549","Minnesota Timberwolves","Philadelphia 76ers"
"550","Cleveland Cavaliers","Brooklyn Nets"
"551","Utah Jazz","Golden State Warriors"
"552","Atlanta Hawks","Houston Rockets"
"553","Miami Heat","Indiana Pacers"
"554","San Antonio Spurs","Milwaukee Bucks"
"555","Portland Trail Blazers","Oklahoma City Thunder"
"556","Boston Celtics","Sacramento Kings"
"557","Los Angeles Clippers","Toronto Raptors"
"558","New York Knicks","Washington Wizards"
"559","New York Knicks","Charlotte Hornets"
"560","Los Angeles Lakers","Detroit Pistons"
"561","Memphis Grizzlies","Minnesota Timberwolves"
"562","Denver Nuggets","Philadelphia 76ers"
"563","Boston Celtics","Phoenix Suns"
"564","Indiana Pacers","Golden State Warriors"
"565","Chicago Bulls","Houston Rockets"
"566","Milwaukee Bucks","Los Angeles Clippers"
"567","Cleveland Cavaliers","Miami Heat"
"568","Portland Trail Blazers","New Orleans Pelicans"
"569","Dallas Mavericks","Sacramento Kings"
"570","Denver Nuggets","Toronto Raptors"
"571","San Antonio Spurs","Washington Wizards"
"572","Cleveland Cavaliers","Charlotte Hornets"
"573","Dallas Mavericks","Los Angeles Lakers"
"574","Portland Trail Blazers","Memphis Grizzlies"
"575","Atlanta Hawks","Minnesota Timberwolves"
"576","Brooklyn Nets","Orlando Magic"
"577","New York Knicks","Philadelphia 76ers"
"578","Los Angeles Clippers","Phoenix Suns"
"579","Boston Celtics","Utah Jazz"
"580","Washington Wizards","Detroit Pistons"
"581","Milwaukee Bucks","Golden State Warriors"
"582","Chicago Bulls","Miami Heat"
"583","Indiana Pacers","Sacramento Kings"
"584","Oklahoma City Thunder","San Antonio Spurs"
"585","Philadelphia 76ers","Atlanta Hawks"
"586","New Orleans Pelicans","Cleveland Cavaliers"
"587","Minnesota Timberwolves","Dallas Mavericks"
"588","Phoenix Suns","Houston Rockets"
"589","Milwaukee Bucks","Los Angeles Lakers"
"590","Denver Nuggets","Oklahoma City Thunder"
"591","Chicago Bulls","Orlando Magic"
"592","Los Angeles Clippers","Portland Trail Blazers"
"593","Memphis Grizzlies","Utah Jazz"
"594","Toronto Raptors","Boston Celtics"
"595","Brooklyn Nets","Miami Heat"
"596","Detroit Pistons","New York Knicks"
"597","Golden State Warriors","Sacramento Kings"
"598","Charlotte Hornets","Washington Wizards"
"599","Orlando Magic","Atlanta Hawks"
"600","Detroit Pistons","Brooklyn Nets"
